StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_4_TEXT,Q3,Q3_8_TEXT,Q16,Q16_2_TEXT,Q4,Q18,Q5,Q6,Q8,Q9,Q10,Q11,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q15,SC0
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age?,What is the gender you most identify with? - Selected Choice,What is the gender you most identify with? - Prefer to Self-Describe - Text,Please identify the race(s) or ethnicity(ies) you identify with (select all that apply) : - Selected Choice,Please identify the race(s) or ethnicity(ies) you identify with (select all that apply) : - Other/Prefer to Self-Describe - Text,What country or countries are you a citizen of? (Select all that apply.) - Selected Choice,What country or countries are you a citizen of? (Select all that apply.) - Other - Text,What level of nursing courses are you currently taking?,When do you plan on graduating?,Did you transfer to Luther College from another school?,Have you followed the laid out curriculum plan for the nursing major at Luther College or did you transfer in one or more courses (such as microbiology or psychology)?,Do you regularly work during the school year (whether it be at Luther College or somewhere off campus)?,Approximately how many hours per week do you work?,"In a given week, approximately how many hours of extracurricular activities are you involved in (ex. music, athletics, college organizations, etc.)?",Please check if you are utilizing any of the following resources at Luther College.,"For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 1. I am able to adapt when changes occur.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 2. I have at least one close and secure relationship that helps me when I am stressed.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 3. When there are no clear solutions to my problems, sometimes fate or God can help.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 4. I can deal with whatever comes my way.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 5. Past successes give me confidence in dealing with new challenges and difficulties.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 6. I try to see the humorous side of things when I am faced with problems.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 7. Having to cope with stress can make me stronger.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 8. I tend to bounce back after illness, injury, or other hardships.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 9. Good or bad, I believe that most things happen for a reason.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 10. I give my best effort no matter what the outcome may be.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 11. I believe I can achieve my goals, even if there are obstacles.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 12. Even when things look hopeless, I don't give up.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 13. During times of stress/crisis, I know where to turn for help.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 14. Under pressure, I stay focused and think clearly.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 15. I prefer to take the lead in solving problems rather than letting others make all of the decisions.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 16. I am not easily discouraged by failure.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 17. I think of myself as a strong person when dealing with life's challenges and difficulties.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 18. I can make unpopular or difficult decisions that affect other people, if it is necessary.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 19. I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 20. In dealing with life's problems, sometimes you have to act on a hunch without knowing why.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 21. I have a strong sense of purpose in life.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 22. I feel in control of my life.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 23. I like challenges.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 24. I work to attain my goals no matter when roadblocks I encounter along the way.","For each item, please indicate how much you agree with the following statements as they apply to you over the last MONTH. If a particular situation has not occurred recently, answer according to how you think you would have felt. - 25. I take pride in my achievements.","Below is a collection of statements about your everyday experience. Using the scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item. - 1. I could be experiencing some emotion and not be conscious of it until some time later.","Below is a collection of statements about your everyday experience. Using the scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item. - 2. I break or spill things because of carelessness, not paying attention, or thinking of something else.","Below is a collection of statements about your everyday experience. Using the scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item. - 3. I find it difficult to stay focused on what's happening in the present.","Below is a collection of statements about your everyday experience. Using the scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item. - 4. I tend to walk quickly to get where I'm going without paying attention to what I experience along the way.","Below is a collection of statements about your everyday experience. Using the scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item. - 5. I tend not to notice feelings of physical tension or discomfort until they really grab at my attention.","Below is a collection of statements about your everyday experience. Using the scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item. - 6. I forget a person's name almost as soon as I've been told it for the first time.","Below is a collection of statements about your everyday experience. Using the scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item. - 7. It seems I am ""running on automatic,"" without much awareness of what I'm doing.","Below is a collection of statements about your everyday experience. Using the scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item. - 8. I rush through activities without being really attentive to them.","Below is a collection of statements about your everyday experience. Using the scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item. - 9. I get so focused on the goal I want to achieve that I lose touch with what I'm doing right now to get there.","Below is a collection of statements about your everyday experience. Using the scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item. - 10. I do jobs or tasks automatically, without being aware of what I'm doing.","Below is a collection of statements about your everyday experience. Using the scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item. - 11. I find myself listening to someone with one ear, doing something else at the same time.","Below is a collection of statements about your everyday experience. Using the scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item. - 12. I drive places on ""automatic pilot"" and then wonder why I went there.","Below is a collection of statements about your everyday experience. Using the scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item. - 13. I find myself preoccupied with the future or the past.","Below is a collection of statements about your everyday experience. Using the scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item. - 14. I find myself doing things without paying attention.","Below is a collection of statements about your everyday experience. Using the scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item. - 15. I snack without being aware that I'm eating.","The questions in this scale ask you about your feelings and thoughts during THE LAST MONTH. In each case, you will be asked to indicate your response by clicking on the circle representing HOW OFTEN you felt or thought a certain way. Although some of the questions are similar, there are differences between them and you should treat each one as a separate question. The best approach is to answer fairly quickly. That is, don't try to count up the number of ways you felt a particular way, but rather indicate the alternative that seems like a reasonable estimate. - 1. In the last month, how often have you been upset because of something that happened unexpectedly?","The questions in this scale ask you about your feelings and thoughts during THE LAST MONTH. In each case, you will be asked to indicate your response by clicking on the circle representing HOW OFTEN you felt or thought a certain way. Although some of the questions are similar, there are differences between them and you should treat each one as a separate question. The best approach is to answer fairly quickly. That is, don't try to count up the number of ways you felt a particular way, but rather indicate the alternative that seems like a reasonable estimate. - 2. In the last month, how often have you felt that you were unable to control the important things in your life?","The questions in this scale ask you about your feelings and thoughts during THE LAST MONTH. In each case, you will be asked to indicate your response by clicking on the circle representing HOW OFTEN you felt or thought a certain way. Although some of the questions are similar, there are differences between them and you should treat each one as a separate question. The best approach is to answer fairly quickly. That is, don't try to count up the number of ways you felt a particular way, but rather indicate the alternative that seems like a reasonable estimate. - 3. In the last month, how often have you felt nervous or ""stressed""?","The questions in this scale ask you about your feelings and thoughts during THE LAST MONTH. In each case, you will be asked to indicate your response by clicking on the circle representing HOW OFTEN you felt or thought a certain way. Although some of the questions are similar, there are differences between them and you should treat each one as a separate question. The best approach is to answer fairly quickly. That is, don't try to count up the number of ways you felt a particular way, but rather indicate the alternative that seems like a reasonable estimate. - 4. In the last month, how often have you dealt successfully with day to day problems and annoyances?","The questions in this scale ask you about your feelings and thoughts during THE LAST MONTH. In each case, you will be asked to indicate your response by clicking on the circle representing HOW OFTEN you felt or thought a certain way. Although some of the questions are similar, there are differences between them and you should treat each one as a separate question. The best approach is to answer fairly quickly. That is, don't try to count up the number of ways you felt a particular way, but rather indicate the alternative that seems like a reasonable estimate. - 5. In the last month, how often have you felt that you were effectively coping with important changes that were occurring in your life?","The questions in this scale ask you about your feelings and thoughts during THE LAST MONTH. In each case, you will be asked to indicate your response by clicking on the circle representing HOW OFTEN you felt or thought a certain way. Although some of the questions are similar, there are differences between them and you should treat each one as a separate question. The best approach is to answer fairly quickly. That is, don't try to count up the number of ways you felt a particular way, but rather indicate the alternative that seems like a reasonable estimate. - 6. In the last month, how often have you felt confident about your ability to handle your personal problems?","The questions in this scale ask you about your feelings and thoughts during THE LAST MONTH. In each case, you will be asked to indicate your response by clicking on the circle representing HOW OFTEN you felt or thought a certain way. Although some of the questions are similar, there are differences between them and you should treat each one as a separate question. The best approach is to answer fairly quickly. That is, don't try to count up the number of ways you felt a particular way, but rather indicate the alternative that seems like a reasonable estimate. - 7. In the last month, how often have you felt that things were going your way?","The questions in this scale ask you about your feelings and thoughts during THE LAST MONTH. In each case, you will be asked to indicate your response by clicking on the circle representing HOW OFTEN you felt or thought a certain way. Although some of the questions are similar, there are differences between them and you should treat each one as a separate question. The best approach is to answer fairly quickly. That is, don't try to count up the number of ways you felt a particular way, but rather indicate the alternative that seems like a reasonable estimate. - 8. In the last month, how often have you found that you could not cope with all the things that you had to do?","The questions in this scale ask you about your feelings and thoughts during THE LAST MONTH. In each case, you will be asked to indicate your response by clicking on the circle representing HOW OFTEN you felt or thought a certain way. Although some of the questions are similar, there are differences between them and you should treat each one as a separate question. The best approach is to answer fairly quickly. That is, don't try to count up the number of ways you felt a particular way, but rather indicate the alternative that seems like a reasonable estimate. - 9. In the last month, how often have you been able to control irritations in your life?","The questions in this scale ask you about your feelings and thoughts during THE LAST MONTH. In each case, you will be asked to indicate your response by clicking on the circle representing HOW OFTEN you felt or thought a certain way. Although some of the questions are similar, there are differences between them and you should treat each one as a separate question. The best approach is to answer fairly quickly. That is, don't try to count up the number of ways you felt a particular way, but rather indicate the alternative that seems like a reasonable estimate. - 10. In the last month, how often have you felt that you were on top of things?","The questions in this scale ask you about your feelings and thoughts during THE LAST MONTH. In each case, you will be asked to indicate your response by clicking on the circle representing HOW OFTEN you felt or thought a certain way. Although some of the questions are similar, there are differences between them and you should treat each one as a separate question. The best approach is to answer fairly quickly. That is, don't try to count up the number of ways you felt a particular way, but rather indicate the alternative that seems like a reasonable estimate. - 11. In the last month, how often have you been angered because of things that happened that were outside of your control?","The questions in this scale ask you about your feelings and thoughts during THE LAST MONTH. In each case, you will be asked to indicate your response by clicking on the circle representing HOW OFTEN you felt or thought a certain way. Although some of the questions are similar, there are differences between them and you should treat each one as a separate question. The best approach is to answer fairly quickly. That is, don't try to count up the number of ways you felt a particular way, but rather indicate the alternative that seems like a reasonable estimate. - 12. In the last month, how often have you found yourself thinking about things that you have to accomplish?","The questions in this scale ask you about your feelings and thoughts during THE LAST MONTH. In each case, you will be asked to indicate your response by clicking on the circle representing HOW OFTEN you felt or thought a certain way. Although some of the questions are similar, there are differences between them and you should treat each one as a separate question. The best approach is to answer fairly quickly. That is, don't try to count up the number of ways you felt a particular way, but rather indicate the alternative that seems like a reasonable estimate. - 13. In the last month, how often have you been able to control the way you spend your time?","The questions in this scale ask you about your feelings and thoughts during THE LAST MONTH. In each case, you will be asked to indicate your response by clicking on the circle representing HOW OFTEN you felt or thought a certain way. Although some of the questions are similar, there are differences between them and you should treat each one as a separate question. The best approach is to answer fairly quickly. That is, don't try to count up the number of ways you felt a particular way, but rather indicate the alternative that seems like a reasonable estimate. - 14. In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?","Over the last 2 weeks, how often have you been bothered by the following problems? - 1. Feeling nervous, anxious, or on edge","Over the last 2 weeks, how often have you been bothered by the following problems? - 2. Not being able to stop or control worrying","Over the last 2 weeks, how often have you been bothered by the following problems? - 3. Worrying too much about different things","Over the last 2 weeks, how often have you been bothered by the following problems? - 4. Trouble relaxing","Over the last 2 weeks, how often have you been bothered by the following problems? - 5. Being so restless that it's hard to sit still","Over the last 2 weeks, how often have you been bothered by the following problems? - 6. Become easily annoyed or irritable","Over the last 2 weeks, how often have you been bothered by the following problems? - 7. Feeling afraid as if something awful might happen","If you checked off any problems, how difficult have these made it for you to do your work, take care of things at home, or get along with other people?",Score
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_8_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_2_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID25""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID24_5""}","{""ImportId"":""QID24_6""}","{""ImportId"":""QID24_7""}","{""ImportId"":""QID24_8""}","{""ImportId"":""QID24_9""}","{""ImportId"":""QID24_10""}","{""ImportId"":""QID24_11""}","{""ImportId"":""QID24_12""}","{""ImportId"":""QID24_13""}","{""ImportId"":""QID24_14""}","{""ImportId"":""QID24_15""}","{""ImportId"":""QID24_16""}","{""ImportId"":""QID24_17""}","{""ImportId"":""QID24_18""}","{""ImportId"":""QID24_19""}","{""ImportId"":""QID24_20""}","{""ImportId"":""QID24_21""}","{""ImportId"":""QID24_22""}","{""ImportId"":""QID24_23""}","{""ImportId"":""QID24_24""}","{""ImportId"":""QID24_25""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID4_12""}","{""ImportId"":""QID4_13""}","{""ImportId"":""QID4_14""}","{""ImportId"":""QID4_15""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID10_9""}","{""ImportId"":""QID10_10""}","{""ImportId"":""QID10_11""}","{""ImportId"":""QID10_12""}","{""ImportId"":""QID10_13""}","{""ImportId"":""QID10_14""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID8""}","{""ImportId"":""SC_eDQ5GoTjeRHei33""}"
2018-11-20 14:26:18,2018-11-20 14:26:36,Survey Preview,,100,17,True,2018-11-20 14:26:36,R_ZHIpCEnCFa5OREt,,,,,43.32269287109375,-91.7938995361328125,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-27 07:42:21,2018-11-27 07:43:51,Survey Preview,,100,89,True,2018-11-27 07:43:51,R_blJmlCtIJSS7bY5,,,,,43.32269287109375,-91.7938995361328125,preview,EN,,,,,,,,,,,,,,,,Not True at All,Rarely True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-27 08:12:19,2018-11-27 08:19:18,IP Address,74.207.60.247,100,419,True,2018-11-27 08:19:18,R_1gNM3fVZsEm94YU,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Female,,Caucasian,,United States,,First Year-level courses,,No,I have followed the laid out curriculum plan for the nursing major,Yes,8-12 hours,0-4 hours,,Often True,True Nearly All of the Time,Often True,Often True,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,Often True,Often True,Often True,True Nearly All of the Time,True Nearly All of the Time,Often True,Often True,True Nearly All of the Time,Often True,True Nearly All of the Time,Often True,Often True,Often True,True Nearly All of the Time,True Nearly All of the Time,Often True,True Nearly All of the Time,True Nearly All of the Time,Somewhat Infrequently,Very Infrequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Very Frequently,Very Frequently,Somewhat Infrequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Sometimes,Almost Never,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Sometimes,Fairly Often,Fairly Often,Sometimes,Very Often,Sometimes,Sometimes,Several days,Several days,Several days,Over half the days,Several days,Several days,Not at all sure,Somewhat difficult,78
2018-11-27 08:11:43,2018-11-27 08:21:05,IP Address,174.82.219.50,100,561,True,2018-11-27 08:21:05,R_3g0fxQ4g2VtoYAD,,,,,44.1078033447265625,-92.40529632568359375,anonymous,EN,18-22,Female,,Caucasian,,United States,,Junior-level courses,,No,I have followed the laid out curriculum plan for the nursing major,No,,8-12 hours,,Often True,Often True,Rarely True,Sometimes True,Sometimes True,Rarely True,Sometimes True,Sometimes True,Sometimes True,Often True,Sometimes True,Sometimes True,Sometimes True,Sometimes True,Rarely True,Sometimes True,Sometimes True,Rarely True,Often True,Rarely True,Rarely True,Sometimes True,Sometimes True,Sometimes True,Often True,Somewhat Infrequently,Somewhat Infrequently,Very Infrequently,Very Infrequently,Somewhat Frequently,Very Infrequently,Very Infrequently,Almost Never,Almost Never,Very Infrequently,Somewhat Infrequently,Almost Never,Very Infrequently,Somewhat Infrequently,Somewhat Infrequently,Sometimes,Sometimes,Fairly Often,Fairly Often,Sometimes,Sometimes,Sometimes,Almost Never,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Almost Never,Several days,Not at all sure,Over half the days,Several days,Not at all sure,Over half the days,Several days,Somewhat difficult,106
2018-11-27 08:14:50,2018-11-27 08:21:49,IP Address,74.207.47.49,100,418,True,2018-11-27 08:21:49,R_3oAPXMzc7D4Zgep,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Male,,Caucasian,,United States,,Senior-level courses,May 2019,No,I transferred in one or more courses,No,,5-8 hours,,Often True,Sometimes True,Sometimes True,Often True,True Nearly All of the Time,Rarely True,Sometimes True,Often True,Often True,True Nearly All of the Time,Often True,Often True,Sometimes True,Sometimes True,True Nearly All of the Time,Sometimes True,Sometimes True,Sometimes True,Rarely True,Sometimes True,Often True,Often True,Sometimes True,Sometimes True,True Nearly All of the Time,Very Infrequently,Almost Never,Somewhat Infrequently,Very Frequently,Somewhat Infrequently,Somewhat Infrequently,Very Infrequently,Almost Never,Somewhat Infrequently,Very Infrequently,Somewhat Infrequently,Almost Never,Somewhat Frequently,Very Infrequently,Somewhat Infrequently,Almost Never,Almost Never,Fairly Often,Sometimes,Fairly Often,Fairly Often,Fairly Often,Never,Fairly Often,Sometimes,Almost Never,Very Often,Fairly Often,Almost Never,Over half the days,Not at all sure,Several days,Not at all sure,Not at all sure,Not at all sure,Not at all sure,Somewhat difficult,90
2018-11-27 08:27:14,2018-11-27 08:32:45,IP Address,172.58.56.37,100,330,True,2018-11-27 08:32:45,R_2ElTbh49cuncMPb,,,,,39.73919677734375,-104.98470306396484375,anonymous,EN,18-22,Female,,Caucasian,,United States,,Junior-level courses,,No,I have followed the laid out curriculum plan for the nursing major,Yes,8-12 hours,0-4 hours,SASC (Student Academic Support Center),Sometimes True,Often True,Sometimes True,Sometimes True,Often True,Often True,Sometimes True,Rarely True,Often True,Sometimes True,Often True,Sometimes True,Sometimes True,Sometimes True,True Nearly All of the Time,Often True,Sometimes True,True Nearly All of the Time,Often True,Often True,Often True,Often True,Often True,Often True,True Nearly All of the Time,Very Infrequently,Somewhat Infrequently,Somewhat Frequently,Very Infrequently,Very Infrequently,Somewhat Infrequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Very Frequently,Almost Never,Somewhat Frequently,Somewhat Frequently,Very Infrequently,Almost Never,Almost Never,Very Often,Fairly Often,Sometimes,Sometimes,Sometimes,Sometimes,Almost Never,Almost Never,Almost Never,Very Often,Sometimes,Very Often,Over half the days,Over half the days,Over half the days,Over half the days,Over half the days,Nearly every day,Several days,Somewhat difficult,103
2018-11-27 08:26:06,2018-11-27 08:33:44,IP Address,66.168.21.31,100,458,True,2018-11-27 08:33:44,R_10GCnFhJ95rYMtl,,,,,44.0496063232421875,-92.48960113525390625,anonymous,EN,18-22,Female,,Caucasian,,United States,,Junior-level courses,,No,I transferred in one or more courses,Yes,5-8 hours,5-8 hours,,Sometimes True,True Nearly All of the Time,Often True,Sometimes True,Sometimes True,Sometimes True,Rarely True,Often True,Often True,True Nearly All of the Time,Often True,Sometimes True,Often True,Sometimes True,Rarely True,Sometimes True,Sometimes True,Rarely True,Sometimes True,Often True,Sometimes True,Rarely True,Sometimes True,Often True,Often True,Somewhat Frequently,Very Infrequently,Somewhat Frequently,Almost Always,Very Frequently,Very Frequently,Very Frequently,Somewhat Frequently,Almost Always,Somewhat Frequently,Very Frequently,Somewhat Infrequently,Very Frequently,Somewhat Frequently,Somewhat Infrequently,Sometimes,Fairly Often,Very Often,Very Often,Sometimes,Sometimes,Fairly Often,Sometimes,Sometimes,Fairly Often,Almost Never,Very Often,Almost Never,Sometimes,Several days,Several days,Several days,Several days,Several days,Several days,Not at all sure,Somewhat difficult,75
2018-11-27 08:26:45,2018-11-27 08:38:30,IP Address,71.90.82.48,100,705,True,2018-11-27 08:38:31,R_3khNNL9X3w64B0Y,,,,,44.0496063232421875,-92.48960113525390625,anonymous,EN,18-22,Female,,Caucasian,,United States,,Junior-level courses,,No,I transferred in one or more courses,Yes,1-4 hours,0-4 hours,"SASC (Student Academic Support Center),TRIO Achievement Program",Often True,Often True,Rarely True,Sometimes True,Sometimes True,True Nearly All of the Time,Sometimes True,Rarely True,Sometimes True,Often True,Sometimes True,Often True,Often True,Not True at All,Sometimes True,Rarely True,Sometimes True,Sometimes True,Sometimes True,Sometimes True,Sometimes True,Rarely True,Often True,Rarely True,Often True,Somewhat Frequently,Somewhat Frequently,Very Frequently,Somewhat Infrequently,Very Infrequently,Very Frequently,Somewhat Infrequently,Somewhat Frequently,Very Frequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Infrequently,Very Frequently,Somewhat Frequently,Very Frequently,Fairly Often,Fairly Often,Very Often,Sometimes,Almost Never,Sometimes,Sometimes,Fairly Often,Sometimes,Almost Never,Fairly Often,Very Often,Almost Never,Fairly Often,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Very difficult,107
