,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q17_total
Q13_1,-0.18462524820573514,-0.23483810629923912,-0.25954526069487266,-0.2231432761405707,-0.28838755672516914,-0.3060154978915819,-0.18166334661511932,-0.09853160287034637,-0.19377278632539333,-0.07239537379384516,-0.40000096607040025,-0.29214123251519364,-0.06136338732442044,-0.20191825273777358,-0.3115608798297639,-0.35528522048253164,-0.42729038426499755,-0.2712200572633942,-0.20034957652831695,-0.024884111598037936,-0.34553990260821044,-0.3419808961989176,-0.20835693426732263,-4.997774160626171e-16,-0.16680299934113318,-0.035485864606024764
Q13_2,0.007814789824679013,-0.5815419190347983,0.12682169985058456,-0.01310356045902397,-0.14520425057156217,-0.27103886447271486,-0.11100705483578552,0.15469574863250654,0.10527936095153956,0.05818433351570387,-0.46114297591071635,0.04377526224827963,-0.21420793112130845,-0.14222375243911586,-0.33082274184852767,-0.3274285803013094,-0.3352399886854735,-0.17209121016305454,-0.18171751445782203,0.22554690949858242,-0.43174941545152673,-0.37876843982674124,-0.038400753841055894,0.2876779808912301,-0.225158665510634,-0.061993080392757756
Q13_3,0.016496350421213703,-0.14388034131335053,-0.22996007485129807,-0.18136906252750296,-0.194516592474601,-0.2654443531270651,-0.03912141047586616,0.2647414672574639,0.23193340304552043,-0.009128709291753077,-0.26136324708573394,-0.15713264083559406,-0.26977236526802983,-0.010203656666214702,-0.22501758018520437,-0.314704852970937,-0.16029486718059446,-0.20965696734438358,-0.3910724885749868,-0.08634014130603136,-0.41331568708667715,-0.2482779175076003,-0.06257700115251182,-0.3033400882268541,-0.21879748724684187,-0.208764918381195
Q13_4,-0.39233090784118063,-0.2739777906824457,-0.15182656916636042,-0.45927932677184585,-0.5430572737787771,-0.11312069010169645,-0.4803021946515813,-0.1694059361338899,-0.020751395727950206,-0.4059713202017278,-0.5775612504753781,-0.3554749986001586,-0.27449998418234606,-0.6301542506715706,-0.4041212766385905,-0.214322419940806,-0.679682020850669,-0.16144709011706643,-0.5272838327617813,-0.3104636801778673,-0.6947024070679265,-0.5296650833140938,-0.03207695740232579,-0.3975271222131509,-0.28702435214351457,-0.2155688397903529
Q13_5,-0.2582977305773315,-0.47764878428305935,-0.24660819701883274,-0.2063982457509185,-0.5227860575644404,-0.044657608470472274,-0.40065410944481744,-0.17493784391568715,0.049766075004720856,-0.26943498297556046,-0.588711081565636,-0.43048996115489213,-0.5103384836584401,-0.5416430888054211,-0.542772671706184,-0.15228174611611872,-0.598749482507725,-0.20199383585684413,-0.5308308360657078,-0.22339965847647875,-0.6149480521779531,-0.618268965534423,-0.10634375683579628,-0.2653724462171374,-0.24056670681025646,-0.14484973990248493
Q13_6,-0.33715233676703443,-0.3092331635098279,-0.08930974656844733,-0.24757057400213744,-0.5814196155443697,-0.07641676061858971,-0.3432166884964716,-0.03155661602188812,-0.06691624097261668,-0.23378881581866015,-0.4282451637041864,-0.33717761278066194,-0.30457477735204147,-0.5239521202706923,-0.5984600661255882,-0.37156408701894283,-0.6570248714331003,-0.5797507838791203,-0.5031535777591756,-0.06817061525404404,-0.5736917081624822,-0.46026328837359687,-0.3752849357681214,-0.14368424162141996,-0.5810468272831243,-0.07867488683790233
Q13_7,-0.17201128758722387,-0.08665671776277227,-0.21030817705432261,-0.23236970617008645,-0.34899646124687983,-0.15557035486636397,-0.4276590341936088,-0.06902285605397011,-0.12134409598329253,-0.29027606770736997,-0.35195027279460767,-0.3450571339118056,-0.17313429732910202,-0.28195902952612695,-0.5477225575051661,-0.15487221957516525,-0.4098319289630911,-0.21880427366415248,-0.44917144301737666,-0.12192301664294163,-0.8079056971779605,-0.41761857815069603,-0.5575138980215312,-0.17491193377378658,-0.6312039107558609,-0.3248009236649617
Q13_8,0.05140573086984902,0.09059076625181596,-0.21150649656435738,-0.23111201292921554,-0.22340590007157804,-0.33691014050742885,-0.2992163904019534,-0.36920991928024127,0.09998615672122992,-0.27333452066007613,-0.3443784128369115,-0.19822162043313105,-0.03473518542978554,-0.29114615919219755,-0.2084875972073648,-0.36185770264479034,-0.00665268607640232,-0.16108080564432853,-0.13727728069983466,0.022876097172010966,-0.2892558457423497,-0.24787581327399563,-0.013800382430456394,-0.12298800925361829,0.21751420645833291,0.03042740116830089
Q13_9,0.004494484158103767,-0.051932968944691016,-0.23687373428338707,-0.18049871809528883,-0.3348399531367578,-0.05637039202712307,-0.46394288466107003,-0.10727870922497201,0.16009593550858883,-0.34301384613257546,-0.3824049376814623,-0.2802155504553257,-0.4586896826852253,-0.30773584914026814,-0.32686022523030667,-0.1464978059614661,-0.3450147304050285,0.16443417976758343,-0.5065280358398634,-0.3055089824141645,-0.5314255046663574,-0.35204778366441547,0.03332061389883181,-0.4157609203101501,-0.1252440084742821,-0.11715873362527987
Q13_10,-0.13979521022284971,-0.21470745394639157,0.01157695123797669,-0.08980265101338732,-0.06998929885327523,-0.27515757282858533,-0.1268615216793193,-0.14934725651144254,-0.1889533996635967,-0.11033170925677988,-0.15231225557722936,-0.04313499020858587,-0.14027149321266968,-0.3305491792825776,-0.4818023015170774,0.1543559852373551,-0.07035627157549591,-0.24223074815163398,-0.12203866578288831,7.13858026325777e-17,-0.3407990882954984,-0.263330282962262,-0.09538768139350012,-0.18090680674665827,-0.49278010188176574,-0.20840693926161521
